buffer,sortOrder,dietVar,dataType,parameter,estimate,Lower,Upper,colourCode,colourNum
1,1,FandV,Occupation,Intercept,0.459,0.362,0.556,(Intercept),1
1,2,FandV,Occupation,SES1,-0.544,-0.638,-0.45,SES,2
1,3,FandV,Occupation,SES2,-0.35,-0.448,-0.251,SES,2
1,4,FandV,Occupation,SES3,-0.174,-0.271,-0.076,SES,2
1,5,FandV,Occupation,SES4,0,0,0,SES,2
1,6,FandV,Occupation,Female,0.021,-0.041,0.082,Gender,3
1,7,FandV,Occupation,Male,0,0,0,Gender,3
1,8,FandV,Occupation,19-34y,-0.356,-0.45,-0.262,Age-group,4
1,9,FandV,Occupation,35-49y,-0.195,-0.277,-0.114,Age-group,4
1,10,FandV,Occupation,50-64y,0.083,-0.001,0.167,Age-group,4
1,11,FandV,Occupation,≥65y,0,0,0,Age-group,4
1,12,FandV,Occupation,OtherEth,0.388,0.282,0.494,Ethnicity,5
1,13,FandV,Occupation,WhiteEth,0,0,0,Ethnicity,5
1,1,FandV,Income,Intercept,0.45,0.346,0.554,(Intercept),1
1,2,FandV,Income,SES1,-0.463,-0.559,-0.367,SES,2
1,3,FandV,Income,SES2,-0.243,-0.346,-0.14,SES,2
1,4,FandV,Income,SES3,-0.076,-0.176,0.025,SES,2
1,5,FandV,Income,SES4,0,0,0,SES,2
1,6,FandV,Income,Female,-0.003,-0.068,0.062,Gender,3
1,7,FandV,Income,Male,0,0,0,Gender,3
1,8,FandV,Income,19-34y,-0.426,-0.53,-0.321,Age-group,4
1,9,FandV,Income,35-49y,-0.276,-0.371,-0.181,Age-group,4
1,10,FandV,Income,50-64y,0.02,-0.075,0.115,Age-group,4
1,11,FandV,Income,≥65y,0,0,0,Age-group,4
1,12,FandV,Income,OtherEth,0.46,0.345,0.574,Ethnicity,5
1,13,FandV,Income,WhiteEth,0,0,0,Ethnicity,5
1,1,FandV,Education,Intercept,0.706,0.611,0.802,(Intercept),1
1,2,FandV,Education,SES1,-0.842,-0.938,-0.746,SES,2
1,3,FandV,Education,SES2,-0.574,-0.664,-0.484,SES,2
1,4,FandV,Education,SES3,-0.398,-0.485,-0.31,SES,2
1,5,FandV,Education,SES4,0,0,0,SES,2
1,6,FandV,Education,Female,0.01,-0.051,0.071,Gender,3
1,7,FandV,Education,Male,0,0,0,Gender,3
1,8,FandV,Education,19-34y,-0.598,-0.696,-0.5,Age-group,4
1,9,FandV,Education,35-49y,-0.341,-0.426,-0.257,Age-group,4
1,10,FandV,Education,50-64y,-0.01,-0.093,0.073,Age-group,4
1,11,FandV,Education,≥65y,0,0,0,Age-group,4
1,12,FandV,Education,OtherEth,0.264,0.159,0.37,Ethnicity,5
1,13,FandV,Education,WhiteEth,0,0,0,Ethnicity,5
1,1,Meat,Occupation,Intercept,0.173,0.079,0.267,(Intercept),1
1,2,Meat,Occupation,SES1,0.186,0.093,0.279,SES,2
1,3,Meat,Occupation,SES2,0.211,0.109,0.312,SES,2
1,4,Meat,Occupation,SES3,0.098,0.003,0.192,SES,2
1,5,Meat,Occupation,SES4,0,0,0,SES,2
1,6,Meat,Occupation,Female,-0.533,-0.593,-0.473,Gender,3
1,7,Meat,Occupation,Male,0,0,0,Gender,3
1,8,Meat,Occupation,19-34y,0.086,0,0.173,Age-group,4
1,9,Meat,Occupation,35-49y,0.055,-0.02,0.129,Age-group,4
1,10,Meat,Occupation,50-64y,0.021,-0.058,0.101,Age-group,4
1,11,Meat,Occupation,≥65y,0,0,0,Age-group,4
1,12,Meat,Occupation,OtherEth,-0.636,-0.779,-0.493,Ethnicity,5
1,13,Meat,Occupation,WhiteEth,0,0,0,Ethnicity,5
1,1,Meat,Income,Intercept,0.322,0.229,0.416,(Intercept),1
1,2,Meat,Income,SES1,-0.047,-0.135,0.041,SES,2
1,3,Meat,Income,SES2,0.031,-0.065,0.127,SES,2
