ProductCode,Company,SWASugCh,SWACalCh
Biscuits,  Burtons biscuit company,-0.03,0.069
Biscuits,  Mondelez International,-0.024,-0.076
Biscuits,  Nestle,-0.012,-0.007
Biscuits,  Pladis,-0.002,-0.055
Cakes,  Aldi,-0.01,-0.126
Cakes,  Pladis,0.034,0.011
Cakes,  Premier Foods PLC,-0.022,-0.035
Chocolate confectionery,  Mars Wrigley Confectionery UK Ltd,0.002,-0.002
Chocolate confectionery,  Mondelez International,0,-0.04
Chocolate confectionery,  Nestle,-0.003,-0.095
Ice cream lollies and sorbets,  Froneri,0,0.116
Morning goods,  Aldi,-0.061,0.008
Morning goods,  Lidl Great Britain Ltd,-0.035,-0.087
Morning goods,  Sainsbury's,0.101,0.063
Morning goods,  Tesco Food Stores Ltd,-0.019,0.067
Morning goods,  Waitrose & Partners,-0.055,-0.072
Puddings,  Lactalis Nestle,-0.03,0.02
Puddings,  Premier Foods PLC,0.108,0.02
Sweet confectionery,  Dunhills Plc,0.001,0.049
Sweet confectionery,  Mondelez International,0.021,-0.001
Sweet confectionery,  Nestle,0.009,0.14
Sweet confectionery,  Pervetti Van Melle - PVM UK,-0.045,-0.083
Sweet confectionery,  Swizzels Matlow Ltd,-0.027,-0.17
Yogurts and fromage frais,  Danone,-0.169,-0.123
Biscuits,  Aldi,-0.003,0.027
Biscuits,  ASDA,-0.085,0.003
Biscuits,  Lidl Great Britain Ltd,0.015,-0.028
Biscuits,  Waitrose & Partners,0.007,-0.107
Biscuits,  WM Morrisons Supermarkets Plc,-0.014,-0.071
Chocolate confectionery,  Aldi,0.026,-0.023
Chocolate confectionery,  ASDA,-0.003,-0.119
Chocolate confectionery,  Co-op,-0.044,-0.114
Chocolate confectionery,  Lidl Great Britain Ltd,-0.007,-0.078
Chocolate confectionery,  Sainsbury's,-0.051,-0.185
Chocolate confectionery,  Tesco Food Stores Ltd,-0.027,-0.11
Chocolate confectionery,  Waitrose & Partners,0.026,-0.066
Chocolate confectionery,  Wilko Retail Ltd,-0.04,-0.042
Chocolate confectionery,  WM Morrisons Supermarkets Plc,-0.038,0.042
Ice cream lollies and sorbets,  Aldi,0.065,0.098
Ice cream lollies and sorbets,  ASDA,-0.006,-0.045
Ice cream lollies and sorbets,  Co-op,0.053,-0.108
Ice cream lollies and sorbets,  Iceland Foods Ltd,-0.064,-0.101
Ice cream lollies and sorbets,  Sainsbury's,-0.07,-0.058
Ice cream lollies and sorbets,  Tesco Food Stores Ltd,-0.123,0
Ice cream lollies and sorbets,  WM Morrisons Supermarkets Plc,-0.067,-0.058
Puddings,  Aldi,-0.056,0.054
Puddings,  ASDA,-0.049,0.056
Puddings,  Iceland Foods Ltd,-0.087,0.01
Puddings,  Lidl Great Britain Ltd,-0.052,-0.016
Puddings,  Sainsbury's,-0.015,0.038
Puddings,  Tesco Food Stores Ltd,-0.051,0.021
Puddings,  Waitrose & Partners,0.014,-0.033
Puddings,  WM Morrisons Supermarkets Plc,0.016,0.032
Sweet confectionery,  ASDA,0.038,-0.074
Sweet confectionery,  Sainsbury's,0.027,0.029
Sweet confectionery,  Tesco Food Stores Ltd,-0.033,-0.149
Sweet confectionery,  WM Morrisons Supermarkets Plc,0.078,-0.027
Yogurts and fromage frais,  Aldi,-0.042,-0.051
Yogurts and fromage frais,  ASDA,-0.061,-0.127
Yogurts and fromage frais,  Co-op,0.033,0.127
Yogurts and fromage frais,  Lidl Great Britain Ltd,-0.015,-0.008
Yogurts and fromage frais,  Sainsbury's,-0.045,-0.018
Yogurts and fromage frais,  Tesco Food Stores Ltd,-0.114,-0.058
Yogurts and fromage frais,  Waitrose & Partners,-0.068,0.106
Yogurts and fromage frais,  WM Morrisons Supermarkets Plc,-0.08,0.023
