InHomeType,ProductCode,Company,SWASugCh,SWACalCh,,
Manufacturer,Biscuits,  Burton's Biscuit Company,-0.025,-0.037,,
Manufacturer,Biscuits,  Kellogg Co. of GB Ltd,-0.059,0.005,,
Manufacturer,Biscuits,  Mondelez International,-0.049,-0.013,,
Manufacturer,Biscuits,  Nestle UK,-0.011,-0.009,,
Manufacturer,Biscuits,  Pladis,0.010,-0.052,,
Manufacturers and retailers combined,Cakes,  ALDI Stores Ltd,0.039,-0.054,,
Manufacturers and retailers combined,Cakes,  Asda Stores Ltd,-0.056,0.009,,
Manufacturers and retailers combined,Cakes,  Pladis,0.031,0.036,,
Manufacturers and retailers combined,Cakes,  Premier Foods,-0.038,0.006,,
Manufacturers and retailers combined,Cakes,  Sainsbury’s Plc,-0.027,0.110,,
Manufacturers and retailers combined,Cakes,  WM Morrisons Supermarkets Plc,-0.007,-0.111,,
Manufacturer,Chocolate confectionery,  Mars Wrigley Confectionery UK Ltd,0.000,0.016,,
Manufacturer,Chocolate confectionery,  Mondelez International,0.001,-0.040,,
Manufacturer,Chocolate confectionery,  Nestle UK,-0.003,-0.052,,
Manufacturer,Ice cream lollies and sorbets,  Froneri,-0.143,0.068,,
Manufacturer,Ice cream lollies and sorbets,  Unilever UK,-0.228,-0.044,,
Manufacturers and retailers combined,Morning goods,  Asda Stores Ltd,-0.021,0.012,,
Manufacturers and retailers combined,Morning goods,  Tesco Food Stores Ltd,-0.034,0.164,,
Manufacturers and retailers combined,Morning goods,  WM Morrisons Supermarkets Plc,-0.066,0.007,,
Manufacturer,Puddings,  Lactalis Nestle UK Ltd,-0.057,0.025,,
Manufacturer,Puddings,  Noble Desserts Holdings Ltd,0.087,0.007,,
Manufacturer,Puddings,  Premier Foods,0.057,0.044,,
Manufacturer,Sweet confectionery,  Dunhills PLC - Haribo,-0.001,0.070,,
Manufacturer,Sweet confectionery,  Nestle UK,0.004,0.153,,
Manufacturer,Sweet confectionery,  Pervetti Van Melle - PVM UK,-0.016,-0.057,,
Manufacturer,Sweet confectionery,  Valeo Foods,-0.080,0.186,,
Manufacturer,Yogurts and fromage frais,  Danone UKI,-0.151,-0.120,,
Retailer,Biscuits,  ALDI Stores Ltd,0.001,0.021,,
Retailer,Biscuits,  Asda Stores Ltd,-0.092,0.023,,
Retailer,Biscuits,  Lidl UK,0.038,-0.017,,
Retailer,Biscuits,  Marks and Spencer plc,0.014,-0.030,,
Retailer,Biscuits,  Waitrose & Partners,-0.048,-0.159,,
Retailer,Biscuits,  WM Morrisons Supermarkets Plc,-0.045,-0.228,,
Retailer,Chocolate confectionery,  ALDI Stores Ltd,0.021,0.030,,
Retailer,Chocolate confectionery,  Asda Stores Ltd,0.001,0.048,,
Retailer,Chocolate confectionery,  Sainsbury’s Plc,-0.018,-0.218,,
Retailer,Chocolate confectionery,  Tesco Food Stores Ltd,-0.013,-0.137,,
Retailer,Chocolate confectionery,  Wilko Retail Ltd,-0.071,-0.035,,
Retailer,Chocolate confectionery,  WM Morrisons Supermarkets Plc,0.001,0.011,,
Retailer,Ice cream lollies and sorbets,  ALDI Stores Ltd,0.053,0.085,,
Retailer,Ice cream lollies and sorbets,  Asda Stores Ltd,-0.07,-0.138,,
Retailer,Ice cream lollies and sorbets,  Co-op,0,-0.109,,
Retailer,Ice cream lollies and sorbets,  Iceland Foods Ltd,-0.084,-0.130,,
Retailer,Ice cream lollies and sorbets,  Lidl UK,0.075,0.311,,
Retailer,Ice cream lollies and sorbets,  Sainsbury’s Plc,-0.093,-0.198,,
Retailer,Ice cream lollies and sorbets,  Tesco Food Stores Ltd,-0.245,-0.142,,
Retailer,Ice cream lollies and sorbets,  WM Morrisons Supermarkets Plc,0.086,-0.118,,
Retailer,Puddings,  ALDI Stores Ltd,0.168,0.156,,
Retailer,Puddings,  Asda Stores Ltd,-0.03,0.141,,
Retailer,Puddings,  Iceland Foods Ltd,0.076,0.310,,
Retailer,Puddings,  Lidl UK,0.104,0.115,,
Retailer,Puddings,  Marks and Spencer plc,-0.007,-0.142,,
Retailer,Puddings,  Sainsbury’s Plc,-0.016,0.001,,
Retailer,Puddings,  Tesco Food Stores Ltd,-0.006,0.067,,
Retailer,Puddings,  Waitrose & Partners,0.055,-0.058,,
Retailer,Puddings,  WM Morrisons Supermarkets Plc,0.005,0.064,,
Retailer,Sweet confectionery,  Asda Stores Ltd,-0.001,-0.053,,
Retailer,Sweet confectionery,  Lidl UK,-0.021,-0.579,,
Retailer,Sweet confectionery,  Sainsbury’s Plc,-0.032,-0.013,,
Retailer,Yogurts and fromage frais,  ALDI Stores Ltd,-0.168,-0.136,,
Retailer,Yogurts and fromage frais,  Asda Stores Ltd,-0.151,-0.084,,
Retailer,Yogurts and fromage frais,  Co-op,-0.223,-0.003,,
Retailer,Yogurts and fromage frais,  Lidl UK,-0.078,-0.011,,
Retailer,Yogurts and fromage frais,  Marks and Spencer plc,-0.084,-0.087,,
Retailer,Yogurts and fromage frais,  Sainsbury’s Plc,-0.04,-0.159,,
Retailer,Yogurts and fromage frais,  Tesco Food Stores Ltd,-0.163,-0.110,,
Retailer,Yogurts and fromage frais,  Waitrose & Partners,-0.153,0.238,,
Retailer,Yogurts and fromage frais,  WM Morrisons Supermarkets Plc,-0.135,0.008,,
