ProductCode,Product,Order3,CALT1,CALT2,CALCH
Chocolate confectionery,  Bounty 4x2 (228g),1,278,278,0
Chocolate confectionery,  Cadburys Creme Egg 5 Pack (197g),1,173,173,0
Chocolate confectionery,  Cadburys Crunchie 4 Bars (128g),1,150,149,-0.009
Chocolate confectionery,  Cadburys Curly Wurly 5 Pack (130g),1,118,118,-0.004
Chocolate confectionery,  Cadburys Dairy Milk Caramel 4 Bars (148g),1,179,179,0
Chocolate confectionery,  Cadburys Dairy Milk Freddo 6 Pack (108g),1,95,95,0
Chocolate confectionery,  Cadburys Fudge (153g),1,113,114,0.007
Chocolate confectionery,  Cadburys Twirl Twin Bars (136g),1,182,180,-0.013
Chocolate confectionery,  Cadburys Wispa (120g),1,165,165,0
Chocolate confectionery,  Dairyfine Racer (6x40g) (240g),1,200,190,-0.046
Chocolate confectionery,  Dairyfine Titan (6x40g) (240g),1,183,178,-0.028
Chocolate confectionery,  Fry's Turkish Delight (153g),1,196,185,-0.057
Chocolate confectionery,  Galaxy Ripple 4 (132g),1,175,175,-0.002
Chocolate confectionery,  Galaxy Smooth Milk X4 Full Size Bars,1,229,229,0
Chocolate confectionery,  Mars X4 (157.6g),1,177,177,0
Chocolate confectionery,  Nestle Aero Delightful Peppermint (108g),1,146,143,-0.015
Chocolate confectionery,  Nestle Kit Kat Chunky (160g),1,206,202,-0.019
Chocolate confectionery,  Snickers 4 Bars (166.8g),1,213,213,0
Chocolate confectionery,  Twix Fingers 16 (368g),1,113,113,0
Chocolate confectionery,  Twix Fingers 9 (207g),1,114,114,0
Biscuits,  Belmont Biscuit Co Caramel Wacko,2,120,121,0.015
Biscuits,  Belvita Breakfast Soft Bakes Choc Chips (250g),2,203,205,0.01
Biscuits,  Cadburys Animals 6 Bags Of Mini Biscuits (132g),2,105,107,0.025
Biscuits,  Cadburys Brunch Bar Chocchip (6x32g),2,142,140,-0.018
Biscuits,  Cadburys Brunch Bar Raisin (192g),2,138,133,-0.03
Biscuits,  Jive Caramel Shortcake Bars (232g),2,140,134,-0.043
Biscuits,  Lyons' Viscount Biscuits,2,87,88,0.008
Biscuits,  Lyons Biscuits Viscount (196g),2,74,74,0
Biscuits,  McVitie's Club Orange (176g),2,113,113,0
Biscuits,  McVitie's Gold Crunchy Biscuit Bars With A Unique Gold Coating 8 Bars (176g),2,114,112,-0.014
Biscuits,  McVitie's Penguin Original 8 Bars (196.8g),2,128,128,0
Biscuits,  Mcvities Club Mint (176g),2,112,112,0
Biscuits,  Nestle 8 Breakaway Original (152.8g),2,98,98,0
