ProductCode,Order,Product,CALT1,CALT2,CALCH
Chocolate confectionery,1,  Cadburys Dairy Milk Freddo (108g),95,95,0
Chocolate confectionery,1,  Milky Way (129g),96,97,0.006711409
Chocolate confectionery,1,  Twix 16 Fingers (368g),113,113,0
Chocolate confectionery,1,  Twix Fingers (207g),113,113,0
Chocolate confectionery,1,  Cadburys Fudge 6 Pack (153g),113,113,0
Chocolate confectionery,1,  Twix Fingers (207g),114,113,-0.004040404
Chocolate confectionery,1,  Cadburys Curly Wurly (130g),118,118,-0.004395604
Chocolate confectionery,1,  Cadburys Flake (102g),136,136,0
Chocolate confectionery,1,  Cadburys Crunchie 4 Bars (128g),150,149,-0.008510638
Chocolate confectionery,1,  Cadburys Wispa (120g),165,165,0
Chocolate confectionery,1,  Cadburys Creme Egg (197g),173,173,0
Chocolate confectionery,1,  Galaxy Ripple (132g),175,175,-0.001886792
Chocolate confectionery,1,  Mars (157.6g),177,177,0
Chocolate confectionery,1,  Cadburys Twirl Twin Bars (136g),182,180,-0.013084112
Chocolate confectionery,1,  Dairyfine Titan (6x40g) (240g),183,178,-0.02844639
Chocolate confectionery,1,  Nestle Toffee Crisp (152g),195,198,0.015594542
Chocolate confectionery,1,  Fry's Turkish Delight (153g),196,185,-0.057142857
Chocolate confectionery,1,  Dairyfine Racer (6x40g) (240g),200,200,0
Chocolate confectionery,1,  Nestle Kit Kat Chunky 4 Bars (160g),206,203,-0.01744186
Chocolate confectionery,1,  Snickers 4 Snickers Bars (166.8g),213,213,0
Chocolate confectionery,1,  Galaxy Smooth Milk,229,229,0
Chocolate confectionery,1,  Bounty (228g),278,278,0
Biscuits,2,  Kellogg's Coco Pops (120g),84,84,0.007159905
Biscuits,2,  Nestle Breakaway 8 Original (152.8g),98,98,0
Biscuits,2,  Nestle Blue Riband Original (154.4g),99,99,0
Biscuits,2,  Nestle Kit Kat Original (331.2g),105,104,-0.011811024
Biscuits,2,  Tunnock's 6 Tea Cakes Milk Chocolate (6x24g),106,106,0
Biscuits,2,  Nestle Kit Kat Original (434.7g),106,104,-0.020418552
Biscuits,2,  McVitie's Gold Crunchy Biscuit Bars With A Unique Gold Coating 8 Bars (176g),111,112,0.003875969
Biscuits,2,  Choco Break (172g),112,112,0
Biscuits,2,  Mcvities Club Mint (176g),112,112,0
