"","Area_Code","Area_Name","year","values"
"1","E09000002","Barking and Dagenham","2019",219
"2","E09000002","Barking and Dagenham","2018",215
"3","E09000002","Barking and Dagenham","2017",210
"4","E09000002","Barking and Dagenham","2016",206
"5","E09000002","Barking and Dagenham","2015",201
"6","E09000002","Barking and Dagenham","2014",197
"7","E09000002","Barking and Dagenham","2013",193
"8","E09000002","Barking and Dagenham","2012",190
"9","E09000002","Barking and Dagenham","2011",186
"10","E09000002","Barking and Dagenham","2010",182
"11","E09000002","Barking and Dagenham","2009",177
"12","E09000002","Barking and Dagenham","2008",171
"13","E09000002","Barking and Dagenham","2007",168
"14","E09000002","Barking and Dagenham","2006",166
"15","E09000002","Barking and Dagenham","2005",165
"16","E09000002","Barking and Dagenham","2004",165
"17","E09000003","Barnet","2019",396
"18","E09000003","Barnet","2018",391
"19","E09000003","Barnet","2017",391
"20","E09000003","Barnet","2016",385
"21","E09000003","Barnet","2015",378
"22","E09000003","Barnet","2014",373
"23","E09000003","Barnet","2013",367
"24","E09000003","Barnet","2012",361
"25","E09000003","Barnet","2011",355
"26","E09000003","Barnet","2010",348
"27","E09000003","Barnet","2009",343
"28","E09000003","Barnet","2008",336
"29","E09000003","Barnet","2007",331
"30","E09000003","Barnet","2006",329
"31","E09000003","Barnet","2005",324
"32","E09000003","Barnet","2004",320
"33","E09000004","Bexley","2019",251
"34","E09000004","Bexley","2018",249
"35","E09000004","Bexley","2017",247
"36","E09000004","Bexley","2016",244
"37","E09000004","Bexley","2015",242
"38","E09000004","Bexley","2014",236
"39","E09000004","Bexley","2013",235
"40","E09000004","Bexley","2012",233
"41","E09000004","Bexley","2011",232
"42","E09000004","Bexley","2010",230
"43","E09000004","Bexley","2009",227
"44","E09000004","Bexley","2008",226
"45","E09000004","Bexley","2007",223
"46","E09000004","Bexley","2006",222
"47","E09000004","Bexley","2005",221
"48","E09000004","Bexley","2004",220
"49","E09000005","Brent","2019",330
"50","E09000005","Brent","2018",328
"51","E09000005","Brent","2017",333
"52","E09000005","Brent","2016",329
"53","E09000005","Brent","2015",323
"54","E09000005","Brent","2014",322
"55","E09000005","Brent","2013",317
"56","E09000005","Brent","2012",313
"57","E09000005","Brent","2011",310
"58","E09000005","Brent","2010",303
"59","E09000005","Brent","2009",296
"60","E09000005","Brent","2008",289
"61","E09000005","Brent","2007",282
"62","E09000005","Brent","2006",275
"63","E09000005","Brent","2005",269
"64","E09000005","Brent","2004",267
"65","E09000006","Bromley","2019",335
"66","E09000006","Bromley","2018",332
"67","E09000006","Bromley","2017",330
"68","E09000006","Bromley","2016",326
"69","E09000006","Bromley","2015",322
"70","E09000006","Bromley","2014",316
"71","E09000006","Bromley","2013",314
"72","E09000006","Bromley","2012",312
"73","E09000006","Bromley","2011",308
"74","E09000006","Bromley","2010",306
"75","E09000006","Bromley","2009",304
"76","E09000006","Bromley","2008",303
"77","E09000006","Bromley","2007",300
"78","E09000006","Bromley","2006",299
"79","E09000006","Bromley","2005",297
"80","E09000006","Bromley","2004",295
"81","E09000007","Camden","2019",260
"82","E09000007","Camden","2018",256
"83","E09000007","Camden","2017",250
"84","E09000007","Camden","2016",246
"85","E09000007","Camden","2015",237
"86","E09000007","Camden","2014",230
"87","E09000007","Camden","2013",226
"88","E09000007","Camden","2012",223
"89","E09000007","Camden","2011",218
"90","E09000007","Camden","2010",212
"91","E09000007","Camden","2009",210
"92","E09000007","Camden","2008",207
"93","E09000007","Camden","2007",208
"94","E09000007","Camden","2006",207
"95","E09000007","Camden","2005",207
"96","E09000007","Camden","2004",203
"97","E09000008","Croydon","2019",390
"98","E09000008","Croydon","2018",387
"99","E09000008","Croydon","2017",387
"100","E09000008","Croydon","2016",382
"101","E09000008","Croydon","2015",377
"102","E09000008","Croydon","2014",374
"103","E09000008","Croydon","2013",370
"104","E09000008","Croydon","2012",366
"105","E09000008","Croydon","2011",362
"106","E09000008","Croydon","2010",355
"107","E09000008","Croydon","2009",350
"108","E09000008","Croydon","2008",346
"109","E09000008","Croydon","2007",341
"110","E09000008","Croydon","2006",337
"111","E09000008","Croydon","2005",336
"112","E09000008","Croydon","2004",334
"113","E09000009","Ealing","2019",344
"114","E09000009","Ealing","2018",343
"115","E09000009","Ealing","2017",348
"116","E09000009","Ealing","2016",346
"117","E09000009","Ealing","2015",340
"118","E09000009","Ealing","2014",342
"119","E09000009","Ealing","2013",340
"120","E09000009","Ealing","2012",337
"121","E09000009","Ealing","2011",336
"122","E09000009","Ealing","2010",331
"123","E09000009","Ealing","2009",327
"124","E09000009","Ealing","2008",321
"125","E09000009","Ealing","2007",316
"126","E09000009","Ealing","2006",312
"127","E09000009","Ealing","2005",310
"128","E09000009","Ealing","2004",307
"129","E09000010","Enfield","2019",340
"130","E09000010","Enfield","2018",337
"131","E09000010","Enfield","2017",336
"132","E09000010","Enfield","2016",332
"133","E09000010","Enfield","2015",326
"134","E09000010","Enfield","2014",323
"135","E09000010","Enfield","2013",319
"136","E09000010","Enfield","2012",315
"137","E09000010","Enfield","2011",312
"138","E09000010","Enfield","2010",305
"139","E09000010","Enfield","2009",300
"140","E09000010","Enfield","2008",295
"141","E09000010","Enfield","2007",289
"142","E09000010","Enfield","2006",284
"143","E09000010","Enfield","2005",282
"144","E09000010","Enfield","2004",280
"145","E09000011","Greenwich","2019",289
"146","E09000011","Greenwich","2018",285
"147","E09000011","Greenwich","2017",280
"148","E09000011","Greenwich","2016",276
"149","E09000011","Greenwich","2015",271
"150","E09000011","Greenwich","2014",267
"151","E09000011","Greenwich","2013",262
"152","E09000011","Greenwich","2012",258
"153","E09000011","Greenwich","2011",253
"154","E09000011","Greenwich","2010",247
"155","E09000011","Greenwich","2009",241
"156","E09000011","Greenwich","2008",237
"157","E09000011","Greenwich","2007",234
"158","E09000011","Greenwich","2006",232
"159","E09000011","Greenwich","2005",228
"160","E09000011","Greenwich","2004",225
"161","E09000012","Hackney","2019",285
"162","E09000012","Hackney","2018",281
"163","E09000012","Hackney","2017",277
"164","E09000012","Hackney","2016",272
"165","E09000012","Hackney","2015",268
"166","E09000012","Hackney","2014",261
"167","E09000012","Hackney","2013",256
"168","E09000012","Hackney","2012",251
"169","E09000012","Hackney","2011",246
"170","E09000012","Hackney","2010",241
"171","E09000012","Hackney","2009",236
"172","E09000012","Hackney","2008",230
"173","E09000012","Hackney","2007",223
"174","E09000012","Hackney","2006",219
"175","E09000012","Hackney","2005",215
"176","E09000012","Hackney","2004",212
"177","E09000013","Hammersmith and Fulham","2019",180
"178","E09000013","Hammersmith and Fulham","2018",180
"179","E09000013","Hammersmith and Fulham","2017",182
"180","E09000013","Hammersmith and Fulham","2016",181
"181","E09000013","Hammersmith and Fulham","2015",176
"182","E09000013","Hammersmith and Fulham","2014",176
"183","E09000013","Hammersmith and Fulham","2013",177
"184","E09000013","Hammersmith and Fulham","2012",178
"185","E09000013","Hammersmith and Fulham","2011",181
"186","E09000013","Hammersmith and Fulham","2010",179
"187","E09000013","Hammersmith and Fulham","2009",178
"188","E09000013","Hammersmith and Fulham","2008",175
"189","E09000013","Hammersmith and Fulham","2007",175
"190","E09000013","Hammersmith and Fulham","2006",173
"191","E09000013","Hammersmith and Fulham","2005",172
"192","E09000013","Hammersmith and Fulham","2004",170
"193","E09000014","Haringey","2019",279
"194","E09000014","Haringey","2018",276
"195","E09000014","Haringey","2017",278
"196","E09000014","Haringey","2016",275
"197","E09000014","Haringey","2015",270
"198","E09000014","Haringey","2014",263
"199","E09000014","Haringey","2013",260
"200","E09000014","Haringey","2012",258
"201","E09000014","Haringey","2011",254
"202","E09000014","Haringey","2010",251
"203","E09000014","Haringey","2009",248
"204","E09000014","Haringey","2008",243
"205","E09000014","Haringey","2007",235
"206","E09000014","Haringey","2006",232
"207","E09000014","Haringey","2005",228
"208","E09000014","Haringey","2004",225
"209","E09000015","Harrow","2019",250
"210","E09000015","Harrow","2018",249
"211","E09000015","Harrow","2017",252
"212","E09000015","Harrow","2016",250
"213","E09000015","Harrow","2015",246
"214","E09000015","Harrow","2014",245
"215","E09000015","Harrow","2013",243
"216","E09000015","Harrow","2012",240
"217","E09000015","Harrow","2011",238
"218","E09000015","Harrow","2010",235
"219","E09000015","Harrow","2009",231
"220","E09000015","Harrow","2008",228
"221","E09000015","Harrow","2007",225
"222","E09000015","Harrow","2006",222
"223","E09000015","Harrow","2005",219
"224","E09000015","Harrow","2004",215
"225","E09000016","Havering","2019",261
"226","E09000016","Havering","2018",258
"227","E09000016","Havering","2017",253
"228","E09000016","Havering","2016",250
"229","E09000016","Havering","2015",248
"230","E09000016","Havering","2014",241
"231","E09000016","Havering","2013",240
"232","E09000016","Havering","2012",238
"233","E09000016","Havering","2011",236
"234","E09000016","Havering","2010",235
"235","E09000016","Havering","2009",233
"236","E09000016","Havering","2008",230
"237","E09000016","Havering","2007",228
"238","E09000016","Havering","2006",227
"239","E09000016","Havering","2005",225
"240","E09000016","Havering","2004",224
"241","E09000017","Hillingdon","2019",310
"242","E09000017","Hillingdon","2018",306
"243","E09000017","Hillingdon","2017",307
"244","E09000017","Hillingdon","2016",302
"245","E09000017","Hillingdon","2015",296
"246","E09000017","Hillingdon","2014",290
"247","E09000017","Hillingdon","2013",284
"248","E09000017","Hillingdon","2012",279
"249","E09000017","Hillingdon","2011",273
"250","E09000017","Hillingdon","2010",267
"251","E09000017","Hillingdon","2009",263
"252","E09000017","Hillingdon","2008",259
"253","E09000017","Hillingdon","2007",255
"254","E09000017","Hillingdon","2006",252
"255","E09000017","Hillingdon","2005",249
"256","E09000017","Hillingdon","2004",246
"257","E09000018","Hounslow","2019",273
"258","E09000018","Hounslow","2018",271
"259","E09000018","Hounslow","2017",278
"260","E09000018","Hounslow","2016",274
"261","E09000018","Hounslow","2015",268
"262","E09000018","Hounslow","2014",267
"263","E09000018","Hounslow","2013",262
"264","E09000018","Hounslow","2012",258
"265","E09000018","Hounslow","2011",254
"266","E09000018","Hounslow","2010",248
"267","E09000018","Hounslow","2009",242
"268","E09000018","Hounslow","2008",237
"269","E09000018","Hounslow","2007",232
"270","E09000018","Hounslow","2006",227
"271","E09000018","Hounslow","2005",222
"272","E09000018","Hounslow","2004",218
"273","E09000019","Islington","2019",240
"274","E09000019","Islington","2018",237
"275","E09000019","Islington","2017",234
"276","E09000019","Islington","2016",230
"277","E09000019","Islington","2015",224
"278","E09000019","Islington","2014",218
"279","E09000019","Islington","2013",213
"280","E09000019","Islington","2012",209
"281","E09000019","Islington","2011",204
"282","E09000019","Islington","2010",198
"283","E09000019","Islington","2009",195
"284","E09000019","Islington","2008",190
"285","E09000019","Islington","2007",187
"286","E09000019","Islington","2006",183
"287","E09000019","Islington","2005",182
"288","E09000019","Islington","2004",179
"289","E09000020","Kensington and Chelsea","2019",154
"290","E09000020","Kensington and Chelsea","2018",154
"291","E09000020","Kensington and Chelsea","2017",157
"292","E09000020","Kensington and Chelsea","2016",156
"293","E09000020","Kensington and Chelsea","2015",154
"294","E09000020","Kensington and Chelsea","2014",150
"295","E09000020","Kensington and Chelsea","2013",152
"296","E09000020","Kensington and Chelsea","2012",154
"297","E09000020","Kensington and Chelsea","2011",156
"298","E09000020","Kensington and Chelsea","2010",159
"299","E09000020","Kensington and Chelsea","2009",160
"300","E09000020","Kensington and Chelsea","2008",161
"301","E09000020","Kensington and Chelsea","2007",161
"302","E09000020","Kensington and Chelsea","2006",163
